timestamp,altitude,daytime,profile,value
2.58E+02,0.1,6.07,5.20E-01,1.02E+11
2.58E+02,0.3,6.07,5.10E-01,8.61E+10
2.58E+02,0.5,6.07,5.00E-01,7.69E+10
2.58E+02,0.7,6.07,4.70E-01,5.21E+10
2.58E+02,0.9,6.07,4.70E-01,5.35E+10
2.58E+02,1.1,6.07,4.70E-01,5.12E+10
2.58E+02,1.3,6.07,4.60E-01,4.17E+10
2.58E+02,1.5,6.07,4.50E-01,3.20E+10
2.58E+02,1.7,6.07,4.50E-01,2.80E+10
2.58E+02,1.9,6.07,4.50E-01,2.85E+10
2.58E+02,2.1,6.07,4.50E-01,2.96E+10
2.58E+02,2.3,6.07,4.40E-01,2.09E+10
2.58E+02,2.5,6.07,4.30E-01,1.48E+10
2.58E+02,2.7,6.07,4.30E-01,1.05E+10
2.58E+02,2.9,6.07,4.30E-01,7.43E+09
2.58E+02,3.1,6.07,4.20E-01,5.26E+09
2.58E+02,3.3,6.07,4.20E-01,3.72E+09
2.58E+02,3.5,6.07,4.20E-01,2.64E+09
2.58E+02,3.7,6.07,4.20E-01,1.87E+09
2.58E+02,3.9,6.07,4.20E-01,1.32E+09
2.58E+02,0.1,7.07,5.30E-01,1.03E+11
2.58E+02,0.3,7.07,5.60E-01,1.41E+11
2.58E+02,0.5,7.07,5.10E-01,9.22E+10
2.58E+02,0.7,7.07,5.00E-01,8.26E+10
2.58E+02,0.9,7.07,4.90E-01,6.94E+10
2.58E+02,1.1,7.07,4.90E-01,7.04E+10
2.58E+02,1.3,7.07,4.90E-01,6.97E+10
2.58E+02,1.5,7.07,4.80E-01,5.56E+10
2.58E+02,1.7,7.07,4.60E-01,3.52E+10
2.58E+02,1.9,7.07,4.40E-01,2.00E+10
2.58E+02,2.1,7.07,4.40E-01,1.82E+10
2.58E+02,2.3,7.07,4.30E-01,1.29E+10
2.58E+02,2.5,7.07,4.30E-01,9.11E+09
2.58E+02,2.7,7.07,4.30E-01,6.45E+09
2.58E+02,2.9,7.07,4.20E-01,4.57E+09
2.58E+02,3.1,7.07,4.20E-01,3.23E+09
2.58E+02,3.3,7.07,4.20E-01,2.29E+09
2.58E+02,3.5,7.07,4.20E-01,1.62E+09
2.58E+02,3.7,7.07,4.20E-01,1.15E+09
2.58E+02,3.9,7.07,4.20E-01,8.12E+08
2.58E+02,0.1,8.08,5.00E-01,7.65E+10
2.58E+02,0.3,8.08,5.30E-01,1.04E+11
2.58E+02,0.5,8.08,5.10E-01,9.16E+10
2.58E+02,0.7,8.08,5.10E-01,8.34E+10
2.58E+02,0.9,8.08,4.60E-01,3.98E+10
