timestamp,altitude,daytime,profile,value
2.69E+02,0.1,6.07,6.90E-01,2.66E+11
2.69E+02,0.3,6.07,5.70E-01,1.49E+11
2.69E+02,0.5,6.07,5.20E-01,1.01E+11
2.69E+02,0.7,6.07,5.00E-01,7.44E+10
2.69E+02,0.9,6.07,4.70E-01,5.00E+10
2.69E+02,1.1,6.07,4.50E-01,3.09E+10
2.69E+02,1.3,6.07,4.40E-01,1.95E+10
2.69E+02,1.5,6.07,4.30E-01,1.33E+10
2.69E+02,1.7,6.07,4.30E-01,9.72E+09
2.69E+02,1.9,6.07,4.30E-01,6.69E+09
2.69E+02,2.1,6.07,4.20E-01,4.13E+09
2.69E+02,2.3,6.07,4.20E-01,2.22E+09
2.69E+02,2.5,6.07,4.20E-01,1.12E+09
2.69E+02,2.7,6.07,4.20E-01,9.14E+08
2.69E+02,2.9,6.07,4.20E-01,6.47E+08
2.69E+02,3.1,6.07,4.20E-01,4.58E+08
2.69E+02,3.3,6.07,4.20E-01,3.24E+08
2.69E+02,3.5,6.07,4.20E-01,2.29E+08
2.69E+02,3.7,6.07,4.20E-01,1.62E+08
2.69E+02,3.9,6.07,4.20E-01,1.15E+08
2.69E+02,0.1,7.07,5.80E-01,1.61E+11
2.69E+02,0.3,7.07,5.60E-01,1.37E+11
2.69E+02,0.5,7.07,4.90E-01,6.46E+10
2.69E+02,0.7,7.07,4.50E-01,3.44E+10
2.69E+02,0.9,7.07,4.40E-01,2.20E+10
2.69E+02,1.1,7.07,4.40E-01,1.96E+10
2.69E+02,1.3,7.07,4.30E-01,1.13E+10
2.69E+02,1.5,7.07,4.30E-01,5.53E+09
2.69E+02,1.7,7.07,4.20E-01,3.99E+09
2.69E+02,1.9,7.07,4.20E-01,2.82E+09
2.69E+02,2.1,7.07,4.20E-01,2.00E+09
2.69E+02,2.3,7.07,4.20E-01,1.41E+09
2.69E+02,2.5,7.07,4.20E-01,1.00E+09
2.69E+02,2.7,7.07,4.20E-01,7.09E+08
2.69E+02,2.9,7.07,4.20E-01,5.02E+08
2.69E+02,3.1,7.07,4.20E-01,3.55E+08
2.69E+02,3.3,7.07,4.20E-01,2.51E+08
2.69E+02,3.5,7.07,4.20E-01,1.78E+08
2.69E+02,3.7,7.07,4.20E-01,1.26E+08
2.69E+02,3.9,7.07,4.20E-01,8.92E+07
2.69E+02,0.1,8.08,6.30E-01,2.05E+11
2.69E+02,0.3,8.08,5.30E-01,1.05E+11
2.69E+02,0.5,8.08,4.70E-01,4.63E+10
2.69E+02,0.7,8.08,4.50E-01,2.62E+10
2.69E+02,0.9,8.08,4.30E-01,1.37E+10
2.69E+02,1.1,8.08,4.30E-01,1.10E+10
2.69E+02,1.3,8.08,4.30E-01,8.07E+09
2.69E+02,1.5,8.08,4.20E-01,4.08E+09
2.69E+02,1.7,8.08,4.20E-01,1.46E+09
2.69E+02,1.9,8.08,4.20E-01,3.72E+08
