timestamp,altitude,daytime,profile,value
2.55E+02,0.1,6.07,6.10E-01,1.88E+11
2.55E+02,0.3,6.07,5.80E-01,1.52E+11
2.55E+02,0.5,6.07,5.10E-01,8.50E+10
2.55E+02,0.7,6.07,4.60E-01,3.91E+10
2.55E+02,0.9,6.07,4.40E-01,2.44E+10
2.55E+02,1.1,6.07,4.40E-01,1.69E+10
2.55E+02,1.3,6.07,4.30E-01,1.16E+10
2.55E+02,1.5,6.07,4.30E-01,7.39E+09
2.55E+02,1.7,6.07,4.20E-01,4.29E+09
2.55E+02,1.9,6.07,4.20E-01,2.56E+09
2.55E+02,2.1,6.07,4.20E-01,2.28E+09
2.55E+02,2.3,6.07,4.20E-01,1.62E+09
2.55E+02,2.5,6.07,4.20E-01,1.14E+09
2.55E+02,2.7,6.07,4.20E-01,8.10E+08
2.55E+02,2.9,6.07,4.20E-01,5.74E+08
2.55E+02,3.1,6.07,4.20E-01,4.06E+08
2.55E+02,3.3,6.07,4.20E-01,2.87E+08
2.55E+02,3.5,6.07,4.20E-01,2.03E+08
2.55E+02,3.7,6.07,4.20E-01,1.44E+08
2.55E+02,3.9,6.07,4.20E-01,1.02E+08
2.55E+02,0.1,7.07,6.30E-01,2.09E+11
2.55E+02,0.3,7.07,5.50E-01,1.29E+11
2.55E+02,0.5,7.07,4.80E-01,6.12E+10
2.55E+02,0.7,7.07,4.50E-01,2.87E+10
2.55E+02,0.9,7.07,4.30E-01,1.50E+10
2.55E+02,1.1,7.07,4.30E-01,8.48E+09
2.55E+02,1.3,7.07,4.30E-01,5.40E+09
2.55E+02,1.5,7.07,4.20E-01,3.75E+09
2.55E+02,1.7,7.07,4.20E-01,2.31E+09
2.55E+02,1.9,7.07,4.20E-01,1.15E+09
2.55E+02,2.1,7.07,4.20E-01,4.73E+08
2.55E+02,2.3,7.07,4.20E-01,3.84E+08
2.55E+02,2.5,7.07,4.20E-01,2.72E+08
2.55E+02,2.7,7.07,4.20E-01,1.92E+08
2.55E+02,2.9,7.07,4.20E-01,1.36E+08
2.55E+02,3.1,7.07,4.20E-01,9.64E+07
2.55E+02,3.3,7.07,4.20E-01,6.82E+07
2.55E+02,3.5,7.07,4.20E-01,4.83E+07
2.55E+02,3.7,7.07,4.20E-01,3.42E+07
2.55E+02,3.9,7.07,4.20E-01,2.42E+07
2.55E+02,0.1,8.08,7.50E-01,3.24E+11
2.55E+02,0.3,8.08,5.40E-01,1.13E+11
2.55E+02,0.5,8.08,4.80E-01,5.75E+10
2.55E+02,0.7,8.08,4.60E-01,4.23E+10
2.55E+02,0.9,8.08,4.50E-01,2.71E+10
2.55E+02,1.1,8.08,4.30E-01,1.21E+10
2.55E+02,1.3,8.08,4.30E-01,6.69E+09
2.55E+02,1.5,8.08,4.20E-01,4.53E+09
2.55E+02,1.7,8.08,4.20E-01,2.93E+09
2.55E+02,1.9,8.08,4.20E-01,1.76E+09
2.55E+02,2.1,8.08,4.20E-01,1.11E+09
2.55E+02,2.3,8.08,4.20E-01,1.07E+09
2.55E+02,2.5,8.08,4.20E-01,7.61E+08
2.55E+02,2.7,8.08,4.20E-01,5.38E+08
2.55E+02,2.9,8.08,4.20E-01,3.81E+08
2.55E+02,3.1,8.08,4.20E-01,2.70E+08
2.55E+02,3.3,8.08,4.20E-01,1.91E+08
2.55E+02,3.5,8.08,4.20E-01,1.35E+08
2.55E+02,3.7,8.08,4.20E-01,9.57E+07
2.55E+02,3.9,8.08,4.20E-01,6.78E+07
2.55E+02,0.1,9.07,7.20E-01,2.94E+11
2.55E+02,0.3,9.07,5.30E-01,1.04E+11
2.55E+02,0.5,9.07,4.70E-01,4.67E+10
2.55E+02,0.7,9.07,4.40E-01,2.45E+10
2.55E+02,0.9,9.07,4.30E-01,1.28E+10
2.55E+02,1.1,9.07,4.30E-01,5.83E+09
2.55E+02,1.3,9.07,4.20E-01,3.10E+09
2.55E+02,1.5,9.07,4.20E-01,2.20E+09
2.55E+02,1.7,9.07,4.20E-01,1.74E+09
2.55E+02,1.9,9.07,4.20E-01,1.25E+09
2.55E+02,2.1,9.07,4.20E-01,6.54E+08
2.55E+02,2.3,9.07,4.20E-01,2.74E+08
2.55E+02,2.5,9.07,4.20E-01,2.67E+08
2.55E+02,2.7,9.07,4.20E-01,1.89E+08
2.55E+02,2.9,9.07,4.20E-01,1.34E+08
2.55E+02,3.1,9.07,4.20E-01,9.49E+07
2.55E+02,3.3,9.07,4.20E-01,6.72E+07
2.55E+02,3.5,9.07,4.20E-01,4.76E+07
2.55E+02,3.7,9.07,4.20E-01,3.37E+07
2.55E+02,3.9,9.07,4.20E-01,2.38E+07
2.55E+02,0.1,10.07,8.00E-01,3.74E+11
2.55E+02,0.3,10.07,5.60E-01,1.38E+11
2.55E+02,0.5,10.07,4.90E-01,6.42E+10
2.55E+02,0.7,10.07,4.60E-01,3.92E+10
2.55E+02,0.9,10.07,4.40E-01,2.26E+10
2.55E+02,1.1,10.07,4.30E-01,1.43E+10
2.55E+02,1.3,10.07,4.30E-01,9.27E+09
2.55E+02,1.5,10.07,4.30E-01,5.75E+09
2.55E+02,1.7,10.07,4.20E-01,3.92E+09
2.55E+02,1.9,10.07,4.20E-01,2.94E+09
2.55E+02,2.1,10.07,4.20E-01,2.19E+09
2.55E+02,2.3,10.07,4.20E-01,1.76E+09
