timestamp,altitude,daytime,profile,value
2.62E+02,0.1,6.07,4.20E-01,6.82E-02
2.62E+02,0.3,6.07,4.20E-01,6.80E-02
2.62E+02,0.5,6.07,4.20E-01,6.72E-02
2.62E+02,0.7,6.07,4.20E-01,5.94E-02
2.62E+02,0.9,6.07,4.20E-01,5.77E-02
2.62E+02,1.1,6.07,4.20E-01,6.78E-02
2.62E+02,1.3,6.07,4.20E-01,6.98E-02
2.62E+02,1.5,6.07,4.20E-01,7.35E-02
2.62E+02,1.7,6.07,4.20E-01,5.40E-02
2.62E+02,1.9,6.07,4.20E-01,3.48E-02
2.62E+02,2.1,6.07,4.20E-01,2.84E-02
2.62E+02,2.3,6.07,4.20E-01,2.19E-02
2.62E+02,2.5,6.07,4.20E-01,1.54E-02
2.62E+02,2.7,6.07,4.20E-01,8.99E-03
2.62E+02,2.9,6.07,4.20E-01,6.61E-03
2.62E+02,3.1,6.07,4.20E-01,5.47E-03
2.62E+02,3.3,6.07,4.20E-01,4.34E-03
2.62E+02,3.5,6.07,4.20E-01,3.21E-03
2.62E+02,3.7,6.07,4.20E-01,2.09E-03
2.62E+02,3.9,6.07,4.20E-01,1.48E-03
2.62E+02,0.1,7.07,4.20E-01,5.28E-02
2.62E+02,0.3,7.07,4.20E-01,5.12E-02
2.62E+02,0.5,7.07,4.20E-01,4.32E-02
2.62E+02,0.7,7.07,4.20E-01,4.06E-02
2.62E+02,0.9,7.07,4.20E-01,3.99E-02
2.62E+02,1.1,7.07,4.20E-01,3.77E-02
2.62E+02,1.3,7.07,4.20E-01,3.65E-02
2.62E+02,1.5,7.07,4.20E-01,3.96E-02
2.62E+02,1.7,7.07,4.20E-01,3.72E-02
2.62E+02,1.9,7.07,4.20E-01,2.50E-02
2.62E+02,2.1,7.07,4.20E-01,1.70E-02
2.62E+02,2.3,7.07,4.20E-01,1.39E-02
2.62E+02,2.5,7.07,4.20E-01,1.08E-02
2.62E+02,2.7,7.07,4.20E-01,7.74E-03
2.62E+02,2.9,7.07,4.20E-01,4.66E-03
2.62E+02,3.1,7.07,4.20E-01,3.28E-03
2.62E+02,3.3,7.07,4.20E-01,2.76E-03
2.62E+02,3.5,7.07,4.20E-01,2.24E-03
2.62E+02,3.7,7.07,4.20E-01,1.72E-03
2.62E+02,3.9,7.07,4.20E-01,1.20E-03
2.62E+02,0.1,8.08,4.20E-01,3.24E-02
2.62E+02,0.3,8.08,4.20E-01,3.19E-02
2.62E+02,0.5,8.08,4.20E-01,2.55E-02
2.62E+02,0.7,8.08,4.20E-01,2.10E-02
2.62E+02,0.9,8.08,4.20E-01,1.90E-02
2.62E+02,1.1,8.08,4.20E-01,1.86E-02
2.62E+02,1.3,8.08,4.20E-01,1.87E-02
2.62E+02,1.5,8.08,4.20E-01,1.93E-02
2.62E+02,1.7,8.08,4.20E-01,2.13E-02
2.62E+02,1.9,8.08,4.20E-01,1.91E-02
2.62E+02,2.1,8.08,4.20E-01,1.58E-02
2.62E+02,2.3,8.08,4.20E-01,1.25E-02
2.62E+02,2.5,8.08,4.20E-01,9.21E-03
2.62E+02,2.7,8.08,4.20E-01,5.92E-03
2.62E+02,2.9,8.08,4.20E-01,3.70E-03
2.62E+02,3.1,8.08,4.20E-01,3.16E-03
2.62E+02,3.3,8.08,4.20E-01,2.61E-03
2.62E+02,3.5,8.08,4.20E-01,2.06E-03
2.62E+02,3.7,8.08,4.20E-01,1.51E-03
2.62E+02,3.9,8.08,4.20E-01,1.21E-03
2.62E+02,0.1,9.07,4.20E-01,2.96E-02
2.62E+02,0.3,9.07,4.20E-01,2.89E-02
2.62E+02,0.5,9.07,4.20E-01,2.27E-02
2.62E+02,0.7,9.07,4.20E-01,1.90E-02
2.62E+02,0.9,9.07,4.20E-01,1.77E-02
2.62E+02,1.1,9.07,4.20E-01,1.93E-02
2.62E+02,1.3,9.07,4.20E-01,2.39E-02
2.62E+02,1.5,9.07,4.20E-01,2.54E-02
2.62E+02,1.7,9.07,4.20E-01,2.15E-02
2.62E+02,1.9,9.07,4.20E-01,1.59E-02
2.62E+02,2.1,9.07,4.20E-01,1.25E-02
2.62E+02,2.3,9.07,4.20E-01,9.80E-03
2.62E+02,2.5,9.07,4.20E-01,7.14E-03
2.62E+02,2.7,9.07,4.20E-01,5.08E-03
2.62E+02,2.9,9.07,4.20E-01,4.36E-03
2.62E+02,3.1,9.07,4.20E-01,3.65E-03
2.62E+02,3.3,9.07,4.20E-01,2.93E-03
2.62E+02,3.5,9.07,4.20E-01,2.21E-03
2.62E+02,3.7,9.07,4.20E-01,1.49E-03
2.62E+02,3.9,9.07,4.20E-01,1.31E-03
2.62E+02,0.1,10.07,4.20E-01,2.16E-02
2.62E+02,0.3,10.07,4.20E-01,2.16E-02
2.62E+02,0.5,10.07,4.20E-01,1.81E-02
2.62E+02,0.7,10.07,4.20E-01,1.59E-02
2.62E+02,0.9,10.07,4.20E-01,1.61E-02
2.62E+02,1.1,10.07,4.20E-01,1.92E-02
2.62E+02,1.3,10.07,4.20E-01,2.87E-02
2.62E+02,1.5,10.07,4.20E-01,3.25E-02
2.62E+02,1.7,10.07,4.20E-01,2.44E-02
2.62E+02,1.9,10.07,4.20E-01,1.51E-02
2.62E+02,2.1,10.07,4.20E-01,1.25E-02
2.62E+02,2.3,10.07,4.20E-01,9.90E-03
2.62E+02,2.5,10.07,4.20E-01,7.29E-03
2.62E+02,2.7,10.07,4.20E-01,4.68E-03
2.62E+02,2.9,10.07,4.20E-01,3.03E-03
2.62E+02,3.1,10.07,4.20E-01,2.70E-03
2.62E+02,3.3,10.07,4.20E-01,2.37E-03
2.62E+02,3.5,10.07,4.20E-01,2.05E-03
2.62E+02,3.7,10.07,4.20E-01,1.72E-03
2.62E+02,3.9,10.07,4.20E-01,1.56E-03
2.62E+02,0.1,11.08,4.20E-01,2.37E-02
2.62E+02,0.3,11.08,4.20E-01,2.36E-02
2.62E+02,0.5,11.08,4.20E-01,2.17E-02
2.62E+02,0.7,11.08,4.20E-01,2.15E-02
2.62E+02,0.9,11.08,4.20E-01,2.27E-02
2.62E+02,1.1,11.08,4.20E-01,2.26E-02
2.62E+02,1.3,11.08,4.20E-01,2.55E-02
2.62E+02,1.5,11.08,4.20E-01,3.78E-02
2.62E+02,1.7,11.08,4.20E-01,2.72E-02
2.62E+02,1.9,11.08,4.20E-01,1.81E-02
2.62E+02,2.1,11.08,4.20E-01,1.47E-02
2.62E+02,2.3,11.08,4.20E-01,1.14E-02
2.62E+02,2.5,11.08,4.20E-01,8.10E-03
2.62E+02,2.7,11.08,4.20E-01,4.77E-03
2.62E+02,2.9,11.08,4.20E-01,3.21E-03
2.62E+02,3.1,11.08,4.20E-01,2.83E-03
2.62E+02,3.3,11.08,4.20E-01,2.45E-03
2.62E+02,3.5,11.08,4.20E-01,2.08E-03
2.62E+02,3.7,11.08,4.20E-01,1.70E-03
2.62E+02,3.9,11.08,4.20E-01,1.42E-03
2.62E+02,0.1,11.32,4.20E-01,2.65E-02
2.62E+02,0.3,11.32,4.20E-01,2.64E-02
2.62E+02,0.5,11.32,4.20E-01,2.51E-02
2.62E+02,0.7,11.32,4.20E-01,2.62E-02
2.62E+02,0.9,11.32,4.20E-01,2.91E-02
2.62E+02,1.1,11.32,4.20E-01,3.25E-02
2.62E+02,1.3,11.32,4.20E-01,3.37E-02
2.62E+02,1.5,11.32,4.20E-01,3.28E-02
2.62E+02,1.7,11.32,4.20E-01,2.44E-02
2.62E+02,1.9,11.32,4.20E-01,1.90E-02
2.62E+02,2.1,11.32,4.20E-01,1.51E-02
2.62E+02,2.3,11.32,4.20E-01,1.11E-02
2.62E+02,2.5,11.32,4.20E-01,7.22E-03
2.62E+02,2.7,11.32,4.20E-01,4.35E-03
2.62E+02,2.9,11.32,4.20E-01,3.82E-03
2.62E+02,3.1,11.32,4.20E-01,3.29E-03
2.62E+02,3.3,11.32,4.20E-01,2.75E-03
2.62E+02,3.5,11.32,4.20E-01,2.22E-03
2.62E+02,3.7,11.32,4.20E-01,1.69E-03
2.62E+02,3.9,11.32,4.20E-01,1.53E-03
2.62E+02,0.1,11.83,4.20E-01,2.66E-02
2.62E+02,0.3,11.83,4.20E-01,2.66E-02
2.62E+02,0.5,11.83,4.20E-01,2.62E-02
2.62E+02,0.7,11.83,4.20E-01,2.60E-02
2.62E+02,0.9,11.83,4.20E-01,2.87E-02
2.62E+02,1.1,11.83,4.20E-01,3.64E-02
2.62E+02,1.3,11.83,4.20E-01,3.71E-02
2.62E+02,1.5,11.83,4.20E-01,3.46E-02
2.62E+02,1.7,11.83,4.20E-01,3.50E-02
2.62E+02,1.9,11.83,4.20E-01,2.75E-02
2.62E+02,2.1,11.83,4.20E-01,1.99E-02
2.62E+02,2.3,11.83,4.20E-01,1.23E-02
2.62E+02,2.5,11.83,4.20E-01,5.69E-03
2.62E+02,2.7,11.83,4.20E-01,5.10E-03
2.62E+02,2.9,11.83,4.20E-01,4.51E-03
2.62E+02,3.1,11.83,4.20E-01,3.92E-03
2.62E+02,3.3,11.83,4.20E-01,3.36E-03
2.62E+02,3.5,11.83,4.20E-01,2.38E-03
2.62E+02,3.7,11.83,4.20E-01,1.68E-03
2.62E+02,3.9,11.83,4.20E-01,1.19E-03
2.63E+02,0.1,12.07,4.20E-01,2.75E-02
2.63E+02,0.3,12.07,4.20E-01,2.73E-02
2.63E+02,0.5,12.07,4.20E-01,2.52E-02
2.63E+02,0.7,12.07,4.20E-01,2.33E-02
2.63E+02,0.9,12.07,4.20E-01,2.43E-02
2.63E+02,1.1,12.07,4.20E-01,3.99E-02
2.63E+02,1.3,12.07,4.20E-01,4.41E-02
2.63E+02,1.5,12.07,4.20E-01,4.17E-02
2.63E+02,1.7,12.07,4.20E-01,2.95E-02
2.63E+02,1.9,12.07,4.20E-01,2.32E-02
2.63E+02,2.1,12.07,4.20E-01,1.68E-02
2.63E+02,2.3,12.07,4.20E-01,1.05E-02
2.63E+02,2.5,12.07,4.20E-01,5.90E-03
2.63E+02,2.7,12.07,4.20E-01,5.31E-03
2.63E+02,2.9,12.07,4.20E-01,4.71E-03
2.63E+02,3.1,12.07,4.20E-01,4.11E-03
2.63E+02,3.3,12.07,4.20E-01,3.80E-03
2.63E+02,3.5,12.07,4.20E-01,2.69E-03
2.63E+02,3.7,12.07,4.20E-01,1.90E-03
2.63E+02,3.9,12.07,4.20E-01,1.35E-03
2.63E+02,0.1,13.07,4.20E-01,3.10E-02
2.63E+02,0.3,13.07,4.20E-01,3.06E-02
2.63E+02,0.5,13.07,4.20E-01,2.71E-02
2.63E+02,0.7,13.07,4.20E-01,2.51E-02
2.63E+02,0.9,13.07,4.20E-01,2.78E-02
2.63E+02,1.1,13.07,4.20E-01,4.11E-02
2.63E+02,1.3,13.07,4.20E-01,3.72E-02
2.63E+02,1.5,13.07,4.20E-01,3.36E-02
2.63E+02,1.7,13.07,4.20E-01,2.41E-02
2.63E+02,1.9,13.07,4.20E-01,1.82E-02
2.63E+02,2.1,13.07,4.20E-01,1.45E-02
2.63E+02,2.3,13.07,4.20E-01,1.09E-02
2.63E+02,2.5,13.07,4.20E-01,7.20E-03
2.63E+02,2.7,13.07,4.20E-01,4.41E-03
2.63E+02,2.9,13.07,4.20E-01,3.91E-03
2.63E+02,3.1,13.07,4.20E-01,3.42E-03
2.63E+02,3.3,13.07,4.20E-01,2.92E-03
2.63E+02,3.5,13.07,4.20E-01,2.43E-03
2.63E+02,3.7,13.07,4.20E-01,1.93E-03
2.63E+02,3.9,13.07,4.20E-01,1.43E-03
2.63E+02,0.1,14.08,4.20E-01,2.90E-02
2.63E+02,0.3,14.08,4.20E-01,2.90E-02
2.63E+02,0.5,14.08,4.20E-01,2.90E-02
2.63E+02,0.7,14.08,4.20E-01,2.95E-02
2.63E+02,0.9,14.08,4.20E-01,2.92E-02
2.63E+02,1.1,14.08,4.20E-01,2.63E-02
2.63E+02,1.3,14.08,4.20E-01,2.41E-02
2.63E+02,1.5,14.08,4.20E-01,2.32E-02
2.63E+02,1.7,14.08,4.20E-01,2.14E-02
2.63E+02,1.9,14.08,4.20E-01,1.59E-02
2.63E+02,2.1,14.08,4.20E-01,1.20E-02
2.63E+02,2.3,14.08,4.20E-01,1.01E-02
2.63E+02,2.5,14.08,4.20E-01,8.24E-03
2.63E+02,2.7,14.08,4.20E-01,6.34E-03
2.63E+02,2.9,14.08,4.20E-01,4.44E-03
2.63E+02,3.1,14.08,4.20E-01,2.54E-03
2.63E+02,3.3,14.08,4.20E-01,9.84E-04
2.63E+02,3.5,14.08,4.20E-01,1.37E-03
2.63E+02,3.7,14.08,4.20E-01,1.76E-03
2.63E+02,3.9,14.08,4.20E-01,2.01E-03
2.63E+02,0.1,15.07,4.20E-01,4.11E-02
2.63E+02,0.3,15.07,4.20E-01,4.15E-02
2.63E+02,0.5,15.07,4.20E-01,4.37E-02
2.63E+02,0.7,15.07,4.20E-01,4.56E-02
2.63E+02,0.9,15.07,4.20E-01,4.58E-02
2.63E+02,1.1,15.07,4.20E-01,4.29E-02
2.63E+02,1.3,15.07,4.20E-01,4.21E-02
2.63E+02,1.5,15.07,4.20E-01,3.92E-02
2.63E+02,1.7,15.07,4.20E-01,2.58E-02
2.63E+02,1.9,15.07,4.20E-01,1.78E-02
2.63E+02,2.1,15.07,4.20E-01,1.41E-02
2.63E+02,2.3,15.07,4.20E-01,1.04E-02
2.63E+02,2.5,15.07,4.20E-01,6.73E-03
2.63E+02,2.7,15.07,4.20E-01,5.44E-03
2.63E+02,2.9,15.07,4.20E-01,4.55E-03
2.63E+02,3.1,15.07,4.20E-01,3.67E-03
2.63E+02,3.3,15.07,4.20E-01,2.79E-03
2.63E+02,3.5,15.07,4.20E-01,1.90E-03
2.63E+02,3.7,15.07,4.20E-01,1.29E-03
2.63E+02,3.9,15.07,4.20E-01,9.12E-04
2.63E+02,0.1,16.07,4.20E-01,5.18E-02
2.63E+02,0.3,16.07,4.20E-01,5.19E-02
2.63E+02,0.5,16.07,4.20E-01,5.22E-02
2.63E+02,0.7,16.07,4.20E-01,4.85E-02
2.63E+02,0.9,16.07,4.20E-01,4.49E-02
2.63E+02,1.1,16.07,4.20E-01,4.27E-02
2.63E+02,1.3,16.07,4.20E-01,4.80E-02
2.63E+02,1.5,16.07,4.20E-01,4.64E-02
2.63E+02,1.7,16.07,4.20E-01,3.54E-02
2.63E+02,1.9,16.07,4.20E-01,2.27E-02
2.63E+02,2.1,16.07,4.20E-01,1.56E-02
2.63E+02,2.3,16.07,4.20E-01,1.28E-02
2.63E+02,2.5,16.07,4.20E-01,1.00E-02
2.63E+02,2.7,16.07,4.20E-01,7.21E-03
2.63E+02,2.9,16.07,4.20E-01,4.42E-03
2.63E+02,3.1,16.07,4.20E-01,4.13E-03
2.63E+02,3.3,16.07,4.20E-01,4.33E-03
2.63E+02,3.5,16.07,4.20E-01,4.45E-03
2.63E+02,3.7,16.07,4.20E-01,3.15E-03
2.63E+02,3.9,16.07,4.20E-01,2.23E-03
