timestamp,altitude,daytime,profile,value
2.61E+02,0.1,6.07,4.20E-01,3.76E+00
2.61E+02,0.3,6.07,4.20E-01,1.27E+00
2.61E+02,0.5,6.07,4.20E-01,3.44E-01
2.61E+02,0.7,6.07,4.20E-01,7.48E-02
2.61E+02,0.9,6.07,4.20E-01,5.73E-02
2.61E+02,1.1,6.07,4.20E-01,3.98E-02
2.61E+02,1.3,6.07,4.20E-01,2.24E-02
2.61E+02,1.5,6.07,4.20E-01,1.66E-02
2.61E+02,1.7,6.07,4.20E-01,1.18E-02
2.61E+02,1.9,6.07,4.20E-01,8.34E-03
2.61E+02,2.1,6.07,4.20E-01,5.90E-03
2.61E+02,2.3,6.07,4.20E-01,4.18E-03
2.61E+02,2.5,6.07,4.20E-01,2.96E-03
2.61E+02,2.7,6.07,4.20E-01,2.09E-03
2.61E+02,2.9,6.07,4.20E-01,1.48E-03
2.61E+02,3.1,6.07,4.20E-01,1.05E-03
2.61E+02,3.3,6.07,4.20E-01,7.43E-04
2.61E+02,3.5,6.07,4.20E-01,5.26E-04
2.61E+02,3.7,6.07,4.20E-01,3.72E-04
2.61E+02,3.9,6.07,4.20E-01,2.64E-04
2.61E+02,0.1,7.07,4.20E-01,3.89E-01
2.61E+02,0.3,7.07,4.20E-01,3.72E-01
2.61E+02,0.5,7.07,4.20E-01,3.18E-01
2.61E+02,0.7,7.07,4.20E-01,2.44E-01
2.61E+02,0.9,7.07,4.20E-01,2.00E-01
2.61E+02,1.1,7.07,4.20E-01,0.00E+00
2.61E+02,1.3,7.07,4.20E-01,1.21E-01
2.61E+02,1.5,7.07,4.20E-01,7.61E-02
2.61E+02,1.7,7.07,4.20E-01,3.09E-02
2.61E+02,1.9,7.07,4.20E-01,2.35E-02
2.61E+02,2.1,7.07,4.20E-01,1.94E-02
2.61E+02,2.3,7.07,4.20E-01,1.53E-02
2.61E+02,2.5,7.07,4.20E-01,1.11E-02
2.61E+02,2.7,7.07,4.20E-01,6.99E-03
2.61E+02,2.9,7.07,4.20E-01,5.02E-03
2.61E+02,3.1,7.07,4.20E-01,3.55E-03
2.61E+02,3.3,7.07,4.20E-01,2.51E-03
2.61E+02,3.5,7.07,4.20E-01,1.78E-03
2.61E+02,3.7,7.07,4.20E-01,1.26E-03
2.61E+02,3.9,7.07,4.20E-01,8.92E-04
2.61E+02,0.1,8.08,4.20E-01,2.55E-01
2.61E+02,0.3,8.08,4.20E-01,2.44E-01
2.61E+02,0.5,8.08,4.20E-01,1.91E-01
2.61E+02,0.7,8.08,4.20E-01,1.48E-01
2.61E+02,0.9,8.08,4.20E-01,1.09E-01
2.61E+02,1.1,8.08,4.20E-01,8.91E-02
2.61E+02,1.3,8.08,4.20E-01,7.60E-02
2.61E+02,1.5,8.08,4.20E-01,6.02E-02
2.61E+02,1.7,8.08,4.20E-01,4.40E-02
2.61E+02,1.9,8.08,4.20E-01,3.00E-02
2.61E+02,2.1,8.08,4.20E-01,3.61E-02
2.61E+02,2.3,8.08,4.20E-01,3.17E-02
2.61E+02,2.5,8.08,4.20E-01,2.07E-02
2.61E+02,2.7,8.08,4.20E-01,1.40E-02
2.61E+02,2.9,8.08,4.20E-01,1.09E-02
2.61E+02,3.1,8.08,4.20E-01,7.75E-03
2.61E+02,3.3,8.08,4.20E-01,4.65E-03
2.61E+02,3.5,8.08,4.20E-01,1.55E-03
2.61E+02,3.7,8.08,4.20E-01,0.00E+00
2.61E+02,3.9,8.08,4.20E-01,0.00E+00
2.61E+02,0.1,9.07,4.20E-01,2.01E-01
2.61E+02,0.3,9.07,4.20E-01,2.00E-01
2.61E+02,0.5,9.07,4.20E-01,1.62E-01
2.61E+02,0.7,9.07,4.20E-01,0.00E+00
2.61E+02,0.9,9.07,4.20E-01,0.00E+00
2.61E+02,1.1,9.07,4.20E-01,2.64E-01
2.61E+02,1.3,9.07,4.20E-01,1.71E-01
2.61E+02,1.5,9.07,4.20E-01,8.25E-02
2.61E+02,1.7,9.07,4.20E-01,6.82E-02
2.61E+02,1.9,9.07,4.20E-01,5.40E-02
2.61E+02,2.1,9.07,4.20E-01,3.97E-02
2.61E+02,2.3,9.07,4.20E-01,2.54E-02
2.61E+02,2.5,9.07,4.20E-01,1.12E-02
2.61E+02,2.7,9.07,4.20E-01,6.80E-03
2.61E+02,2.9,9.07,4.20E-01,7.48E-03
2.61E+02,3.1,9.07,4.20E-01,8.16E-03
2.61E+02,3.3,9.07,4.20E-01,8.22E-03
2.61E+02,3.5,9.07,4.20E-01,5.82E-03
2.61E+02,3.7,9.07,4.20E-01,4.12E-03
2.61E+02,3.9,9.07,4.20E-01,2.92E-03
2.61E+02,0.1,10.07,4.20E-01,1.31E-01
2.61E+02,0.3,10.07,4.20E-01,1.27E-01
2.61E+02,0.5,10.07,4.20E-01,1.37E-01
2.61E+02,0.7,10.07,4.20E-01,1.46E-01
2.61E+02,0.9,10.07,4.20E-01,1.52E-01
2.61E+02,1.1,10.07,4.20E-01,8.29E-01
2.61E+02,1.3,10.07,4.20E-01,1.82E-01
2.61E+02,1.5,10.07,4.20E-01,1.99E-01
2.61E+02,1.7,10.07,4.20E-01,1.11E-01
2.61E+02,1.9,10.07,4.20E-01,2.34E-02
2.61E+02,2.1,10.07,4.20E-01,2.14E-02
2.61E+02,2.3,10.07,4.20E-01,1.95E-02
